ds,yhat,yhat_lower,yhat_upper
2022-11-16,2900.347761879391,2894.7145584698433,2905.199026884839
2022-11-17,2904.4030529359334,2898.9414203596752,2909.5688910895105
2022-11-18,2908.3847904078893,2902.64976660722,2913.46552649358
2022-11-19,2911.537467332049,2906.0106837129456,2917.0362960195102
2022-11-20,2916.060906067203,2910.7140027940122,2921.355824544205
2022-11-21,2920.223870828544,2914.6984126228103,2925.698366984907
2022-11-22,2924.3351419012974,2919.1060411323706,2929.8684251916334
2022-11-23,2928.3694890421752,2923.1706415178674,2933.917680804954
2022-11-24,2932.351841614083,2926.9412386035497,2937.6896640148702
2022-11-25,2936.2606406014006,2931.0788158256346,2941.595488459195
2022-11-26,2939.3403790409243,2933.706317002785,2944.787153174354
2022-11-27,2943.790879291442,2938.2232975016104,2949.344242839186
2022-11-28,2947.8809055681463,2942.651446881809,2953.0102396743277
2022-11-29,2951.919238156263,2946.4870180609173,2957.3152293711996
2022-11-30,2955.880646812504,2950.224221763094,2961.106073122061
2022-12-01,2959.8629993844115,2954.369297029685,2965.405690925874
2022-12-02,2963.7717983717293,2958.3208786066252,2969.396272799158
2022-12-03,2966.8515368112535,2961.452698892663,2972.3095110035033
2022-12-04,2971.30203706177,2965.7169399165273,2976.558826151821
2022-12-05,2975.392063338476,2970.430502730525,2980.6013384696143
2022-12-06,2979.430395926593,2974.1004979212407,2985.3001209803024
2022-12-07,2983.391804582835,2977.9361031615485,2988.691801449363
2022-12-08,2987.3741571547407,2981.8369988254444,2992.217294387395
2022-12-09,2991.2829561420604,2985.690611356328,2997.0747128135554
2022-12-10,2994.3626945815827,2989.3252683987143,2999.924260315814
2022-12-11,2998.8131948320997,2993.607120759926,3004.2930896467515
2022-12-12,3002.903221108804,2997.6343422777672,3008.9858735087723
2022-12-13,3006.9415536969223,3001.3632524200157,3012.1429132928315
2022-12-14,3010.9029623531637,3005.406467720475,3015.9566896193337
2022-12-15,3014.8853149250685,3009.5467084290663,3020.6719874680875
2022-12-16,3018.7941139123895,3013.425323310825,3024.111997452825
2022-12-17,3021.873852351912,3016.627643965881,3027.349950703872
2022-12-18,3026.2487016656664,3020.627561485569,3031.783398182756
2022-12-19,3030.26307700561,3024.6368251416225,3036.073429651209
2022-12-20,3034.225758656963,3028.3901753858827,3039.9670405570637
2022-12-21,3038.1115163764425,3032.8825801537805,3043.554957320938
2022-12-22,3042.0182180115858,3036.639676001058,3047.828000684707
2022-12-23,3045.8513660621416,3040.360446601781,3051.390684305767
2022-12-24,3048.855453564902,3043.1654328124964,3054.0239598372427
2022-12-25,3053.2303028786573,3048.037477366916,3058.6586981180244
2022-12-26,3057.2446782186,3051.900209430698,3062.8102898420757
2022-12-27,3061.207359869953,3055.5479763566636,3066.876328651203
2022-12-28,3065.093117589432,3060.13934189426,3070.278789851692
2022-12-29,3068.9998192245757,3063.6971419876977,3074.1729061205097
2022-12-30,3072.832967275133,3067.367351407661,3078.7067051071863
2022-12-31,3075.837054777893,3070.39044060835,3081.156576626703
2023-01-01,3080.2119040916455,3074.987498050267,3085.442911608942
2023-01-02,3084.22627943159,3078.712751233611,3089.543199177256
2023-01-03,3088.188961082944,3082.1186222032134,3093.3271787420485
2023-01-04,3092.074718802423,3086.3637240479497,3097.231032766446
2023-01-05,3095.9814204375666,3090.371370590046,3101.395157511947
2023-01-06,3099.8145684881215,3094.329172135502,3105.1690314827356
2023-01-07,3102.818655990883,3097.0610827258847,3107.982247963417
2023-01-08,3107.193505304637,3102.202558603933,3111.9698071333614
2023-01-09,3111.2078806445797,3105.891477951823,3116.351665261528
2023-01-10,3115.126566298485,3109.534070511151,3120.7980541355673
2023-01-11,3118.9683280205168,3113.234691661535,3124.4917355229254
2023-01-12,3122.8310336582103,3117.1984935373644,3128.030401019501
2023-01-13,3126.6201857113174,3121.085062629881,3132.347428062714
2023-01-14,3129.5802772166303,3123.7490491763424,3134.8152347176515
2023-01-15,3133.9111305329357,3128.6215841264666,3139.0606381429748
2023-01-16,3137.881509875429,3132.2040456709074,3143.053225267843
2023-01-17,3141.8001955293353,3136.1194172807373,3147.421442476805
2023-01-18,3145.641957251368,3139.746682381439,3150.6454068325365
2023-01-19,3149.5046628890614,3143.952478094809,3154.950612351101
2023-01-20,3153.293814942168,3148.078275162103,3158.7035308525938
2023-01-21,3156.253906447481,3150.8774478490577,3161.5118172033203
2023-01-22,3160.5847597637867,3155.069894772521,3166.3632544436537
2023-01-23,3164.555139106281,3159.5598376368653,3170.0984984125103
2023-01-24,3168.473824760187,3162.8408177922483,3173.906223542298
2023-01-25,3172.315586482218,3166.784938512375,3177.90181863061
2023-01-26,3176.1782921199115,3171.104174261664,3181.6634009319873
2023-01-27,3179.9674441730194,3174.72605433287,3185.6026327617124
2023-01-28,3182.927535678333,3177.643767093543,3188.399150589311
2023-01-29,3187.258388994637,3181.965253098923,3192.432289475638
2023-01-30,3191.228768337131,3186.3600815450322,3196.7849921132565
2023-01-31,3195.1474539910378,3189.8885097926163,3200.474010428047
2023-02-01,3198.9892157130676,3193.347405608053,3204.2691783026376
2023-02-02,3202.7914075502135,3197.20571893642,3208.685212064986
2023-02-03,3206.520045802772,3201.1715692877824,3211.708289275157
2023-02-04,3209.4196235075365,3203.847542996694,3215.147817738729
2023-02-05,3213.6899630232933,3208.1588734679176,3219.030218025999
2023-02-06,3217.5998285652377,3212.189361539598,3223.0117545823837
2023-02-07,3221.458000418597,3215.5799402678385,3226.7765971177196
2023-02-08,3225.239248340076,3220.1103059430707,3230.7734818247495
2023-02-09,3229.041440177222,3223.27674763258,3234.5196923898625
2023-02-10,3232.7700784297813,3227.147020839218,3238.0953722030367
2023-02-11,3235.669656134545,3230.2966644164876,3240.7560613922888
2023-02-12,3239.939995650301,3234.504140005829,3245.4804417475816
2023-02-13,3243.849861192248,3238.3577373595917,3249.4379523457933
2023-02-14,3247.7080330456033,3242.1388009143116,3253.16656254379
2023-02-15,3251.4892809670873,3245.900470538138,3256.7441222971584
2023-02-16,3255.291472804233,3249.6853327323106,3260.9461877989074
2023-02-17,3259.020111056791,3253.6538749118226,3264.9168435896004
2023-02-18,3261.919688761555,3256.2148387421607,3267.279830290459
2023-02-19,3266.1900282773117,3260.7399840858584,3271.7613797905055
2023-02-20,3270.099893819258,3264.6052067530436,3275.6366719755893
2023-02-21,3273.9580656726134,3268.695756672859,3279.253732065649
2023-02-22,3277.739313594096,3272.591955274215,3283.2317927583003
2023-02-23,3281.5415054312416,3275.992079308105,3287.189647918756
2023-02-24,3285.270143683802,3279.927111307647,3290.8654036811217
2023-02-25,3288.1697213885645,3282.4920106115774,3293.6449091979703
2023-02-26,3292.3820055630317,3287.054373434482,3298.232752219574
2023-02-27,3296.233815763688,3290.7349776986075,3301.767209739748
2023-02-28,3300.033932275756,3294.7501782105087,3305.5110447504517
2023-03-01,3303.757124855947,3298.4675062714978,3309.245098162804
2023-03-02,3307.501261351805,3301.803330291349,3313.1487920986397
2023-03-03,3311.171844263075,3305.9445284584626,3316.968073189318
2023-03-04,3314.013366626548,3309.052690946908,3319.266974587592
2023-03-05,3318.225650801016,3312.6858938475657,3323.8269185607246
2023-03-06,3322.077461001671,3316.996556710444,3327.145688067191
2023-03-07,3325.87757751374,3320.41800345785,3331.22335207575
2023-03-08,3329.6007700939326,3324.2211575430288,3334.8422045948337
2023-03-09,3333.3449065897876,3327.7621128306573,3338.994580491939
2023-03-10,3337.0154895010583,3331.5762572943527,3342.405209021736
2023-03-11,3339.857011864532,3334.4272618480054,3345.403825700056
2023-03-12,3344.069296039,3338.7669077789674,3349.350746274712
2023-03-13,3347.921106239655,3342.043254743386,3353.2537492606534
2023-03-14,3351.721222751723,3346.117994828155,3357.052664487537
2023-03-15,3355.4444153319155,3350.307208270135,3360.816613242397
2023-03-16,3359.1885518277722,3353.8462094618717,3364.6381834991407
2023-03-17,3362.859134739041,3358.0498592554754,3368.0717006622244
